"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LLTL9RF9","journalArticle","2023","López, Tania; Escobar, Mercedes; Cárdenas, Beatriz; Duran, Yasmin Agustin; Retama, Armando; Cortés, Maite","Ciencia participativa: acción para un aire limpio","","","","","https://es.wri.org/publicaciones/ciencia-participativa-accion-para-un-aire-limpio","SinopsisDurante 2019, la contaminación del aire en México causó casi 48 mil muertes (IHME 2019) y se estima que cada año causa alrededor","2023-08-18","2025-10-16 20:43:36","2025-10-16 20:43:36","2025-10-16 20:43:36","","","","","","","Ciencia participativa","","","","","","","es","","","","","es.wri.org","","","","/home/aman/Zotero/storage/MS4RRQ4Q/López et al. - 2023 - Ciencia participativa acción para un aire limpio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXTFIW6S","journalArticle","2021","Dhindaw, Jaya; Kumar, Aarathi; Jain, Monica","Accelerating Innovation in Urban Service Delivery in Indian Cities: Lessons from TheCityFix Labs India","","","","","https://www.wri.org/research/accelerating-innovation-urban-service-delivery-indian-cities-lessons-thecityfix-labs-india","This practice note looks at the WRI India approach of developing a powerful value accelerator platform to scale innovative solutions for gaps in service delivery in collaboration with the quadruple helix stakeholders of government, private sector, academia and citizens. This note assesses the existing innovation ecosystem and the potential for pilot projects to mobilise investment and spark policy reform for the successful delivery of sustainable urban services. This note also sheds light on the enabling conditions needed to deliver sustainable infrastructure, and issues that must be addressed to enable innovative small players and new entrants to participate.","2021-08-17","2025-10-16 20:43:28","2025-10-16 20:43:28","2025-10-16 20:43:28","","","","","","","Accelerating Innovation in Urban Service Delivery in Indian Cities","","","","","","","en","","","","","www.wri.org","","","","/home/aman/Zotero/storage/VE84XRKG/Dhindaw et al. - 2021 - Accelerating Innovation in Urban Service Delivery in Indian Cities Lessons from TheCityFix Labs Ind.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AH6U78JI","journalArticle","2021","Qiu, Shiyong; 薛露露; 蔡静; 陈佳琪; 宋丽英; 吴征","Zero-Emission Logistic Vehicles Promotion Challenges and Experiences: Beijing Case Study","","","","","https://wri.org.cn/en/research/zero-emission-logistic-vehicles-promotion-challenges-and-experiences-beijing-case-study","Although urban logistic vehicles constitute less than 10% of vehicles on the road in most cities, they account for a disproportionate amount of transport-related CO2 emissions and pollutants. Hence, transitioning to zero-emission logistic vehicles is a key measure for cities to achieve cleaner air and to prevent climate change.","2021-01-04","2025-10-16 20:42:54","2025-10-16 20:42:54","2025-10-16 20:42:54","","","","","","","Zero-Emission Logistic Vehicles Promotion Challenges and Experiences","","","","","","","en","","","","","wri.org.cn","","","","/home/aman/Zotero/storage/RM2RR68Q/Qiu et al. - 2021 - Zero-Emission Logistic Vehicles Promotion Challenges and Experiences Beijing Case Study.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WRRJ7UQ5","journalArticle","2023","Mulukutla, Pawan; Das, Shyamasis; Bansal, Priya","Financial Analysis of Charging station (FACt)","","","","","https://wri-india.org/research/financial-analysis-charging-station-fact","SynopsisThe MS-Excel-based tool ‘Financial Analysis of Charging station (FACt)’ (the “Tool”) has been developed to help build an understanding of the business case for rolling out public charging infrastructure for electric vehicles (EVs) in the Indian context. It is a flexible, transparent, and user-friendly solution to the problem of conducting a quick preliminary assessment of the financial justification for setting up a public charging station.","2023-03-27","2025-10-16 19:24:08","2025-10-16 19:24:08","2025-10-16 19:24:08","","","","","","","","","","","","","","en","","","","","wri-india.org","","","","/home/aman/Zotero/storage/SPFBWS3K/Mulukutla et al. - 2023 - Financial Analysis of Charging station (FACt).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GB85I3QV","journalArticle","2023","Mackres, Eric; Shabou, Saif; Wong, Ted","Calculating Indicators From Global Geospatial Data Sets for Benchmarking and Tracking Change in the Urban Environment","","","","","https://www.wri.org/research/calculating-indicators-global-geospatial-datasets-urban-environment","This technical note discusses methods for using these data in combination with locally meaningful jurisdictional boundaries to calculate local measurements of indicators on several themes—including access to urban amenities, air quality, biodiversity, flooding, climate change mitigation, heat, and land protection and restoration—relevant to urban decision-makers, researchers, and other stakeholders.","2023-03-29","2025-10-16 19:24:04","2025-10-16 19:24:04","2025-10-16 19:24:04","","","","","","","","","","","","","","en","","","","","www.wri.org","","","","/home/aman/Zotero/storage/UP4ZU2B7/Mackres et al. - 2023 - Calculating Indicators From Global Geospatial Data Sets for Benchmarking and Tracking Change in the.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XXVYP3A","journalArticle","2023","Rao, Rohan; Maiti, Sudeept; Mulukutla, Pawan","Assessing the Viability of Using Autorickshaws for Urban Freight Delivery in India","","","","","https://wri-india.org/research/assessing-viability-using-autorickshaws-urban-freight-delivery-india","SynopsisIt is estimated that, between 2020 and 2030, India’s freight activity will increase fivefold (NITI Aayog et al. 2021). To meet the rising demand cost-effectively, we need to explore new forms of micro-mobility-based, last-mile freight modes with a focus on low-emissions cargo transportation and optimize existing vehicle stocks.","2023-05-17","2025-10-16 19:23:23","2025-10-16 19:23:23","2025-10-16 19:23:23","","","","","","","","","","","","","","en","","","","","wri-india.org","","","","/home/aman/Zotero/storage/R3EPBPNG/Rao et al. - 2023 - Assessing the Viability of Using Autorickshaws for Urban Freight Delivery in India.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D9NECRCA","journalArticle","2024","邱诗永; 林嘉颖; 刘岱宗; 蒋洪强; 东, 曹; 媛, 王; 张鸿宇; 勃, 李; 晨, 梁","从全球百余城市低碳发展水平异同看中国城市低碳发展之道","","","","","https://wri.org.cn/research/Low-carbon-city-development-in-China","本报告由世界资源研究所和生态环境部环境规划院共同完成，从城市绿色低碳的角度构建了包含低碳生产、低碳消费、低碳环境、低碳进程的指标评价体系，创新性地选取低碳信息指数、第二产业碳生产力等11个典型指标，针对全球102个城市（国际城市43个，国内城市59个）开展了统一口径下的城市低碳发展评价。其中，低碳生产用于表征城市在生产过程中的低碳表现，低碳消费用于衡量一个城市居民的低碳消费行为，低碳环境用于表征城市与自然、生态环境和谐共生的程度，低碳进程则更多强调城市低碳行为取得的一些发展成效。","2024-05-16","2025-10-16 19:23:21","2025-10-16 19:23:21","2025-10-16 19:23:21","","","","","","","","","","","","","","en","","","","","wri.org.cn","","","","/home/aman/Zotero/storage/AFJ42M8V/邱诗永 et al. - 2024 - 从全球百余城市低碳发展水平异同看中国城市低碳发展之道.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4PBFTVC","journalArticle","2022","Lazer, Leah; Freehafer, Lydia; Wang, Jessica","Technical Note for a Dataset of U.S. School Bus Fleets","","","","","https://www.wri.org/research/technical-note-dataset-us-school-bus-fleets","This technical note describes the methods used to create a dataset of the composition of school bus fleets in the United States.","2022-12-23","2025-10-16 19:23:19","2025-10-16 19:23:19","2025-10-16 19:23:19","","","","","","","","","","","","","","en","","","","","www.wri.org","","","","/home/aman/Zotero/storage/R3SIL84S/Lazer et al. - 2022 - Technical Note for a Dataset of U.S. School Bus Fleets.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M5LRLHKW","journalArticle","2022","Steimer, Hamilton; Kothari, Vishant; Cassius, Sarah","Zero-Emission Delivery Zones: Decarbonizing Urban Freight and Goods Delivery in U.S. Cities","","","","","https://www.wri.org/research/zero-emission-delivery-zones-us-cities","In our study of ZEDZs in the U.S. and Netherlands, we find that they can take different forms depending on local market activity and policy landscapes.","2022-11-14","2025-10-16 19:23:16","2025-10-16 19:23:16","2025-10-16 19:23:16","","","","","","","Zero-Emission Delivery Zones","","","","","","","en","","","","","www.wri.org","","","","/home/aman/Zotero/storage/CFVUM4PR/Steimer et al. - 2022 - Zero-Emission Delivery Zones Decarbonizing Urban Freight and Goods Delivery in U.S. Cities.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZHPHN8T","journalArticle","2022","Kustar, Anna; Welle, Ben; Tun, Thet Hein","Sustainable Urban Mobility in the NDCs: The Essential Role of Public Transport","","","","","https://www.wri.org/research/sustainable-urban-mobility-ndcs-essential-role-public-transport","More robust measures on transport decarbonization are needed by 2030 to limit global warming to 1.5 degrees Celsius, including reducing vehicle kilometers travelled and electrifying vehicles.","2022-09-28","2025-10-16 19:23:11","2025-10-16 19:23:11","2025-10-16 19:23:11","","","","","","","Sustainable Urban Mobility in the NDCs","","","","","","","en","","","","","www.wri.org","","","","/home/aman/Zotero/storage/L55PIJVF/Kustar et al. - 2022 - Sustainable Urban Mobility in the NDCs The Essential Role of Public Transport.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
