file_path,metadata
access-climate-finance-low-middle-income-countries.pdf,"{""Manuscript Number"": ""WRI-D-23-00145"", ""Article Type"": ""Working Paper"", ""Sub-tag (clean1)"": ""Transport decarbonization"", ""WRI Office affiliation (primary)"": ""WRI Global "", ""DOI (from RDI mastersheet)"": ""https://doi.org/10.46830/wriwp.23.00145"", ""Article Title"": ""Access to Climate Finance in Low- and Middle-Income Countries: 14 Case Studies for the Transport Sector"", ""All authors"": ""Valerie Laxton, Ph.D; Molly Caldwell; Sebastian Castellanos; Benjamin Welle"", ""Date accepted"": ""10/8/24"", ""Date submitted "": ""10/10/23"", ""Funder (cleaned)"": ""UK government"", ""Funder (raw)"": ""UN FCDO/High Volume Transport"", ""Strategy pillar"": ""CM"", ""Work stream "": ""UM"", ""Sub-tag"": ""Transport decarbonization"", ""YEAR Submitted"": 2023, ""YEAR accepted"": 2024, ""WRI lead author - FIRST name"": ""Yiqian"", ""WRI lead author - LAST name"": ""Zhang"", ""Source URL"": ""https://files.wri.org/d8/s3fs-public/2025-02/access-climate-finance-low-middle-income-countries.pdf?VersionId=BzzrTqBGKfjFkDh4ipLXkuxeR8PCFhHd""}"
action-plans-policy-recommendations-vehicle-grid-integration-china.pdf,"{""Manuscript Number"": ""WRI-D-19-00101"", ""Article Type"": ""Report"", ""Sub-tag (clean1)"": ""Transport decarbonization"", ""WRI Office affiliation (primary)"": ""WRI China"", ""Other weblink (not DOI)"": ""https://www.wri.org/research/quantifying-grid-impacts-large-adoption-electric-vehicles-china"", ""Article Title"": ""Enabling vehicle grid integration in China"", ""All authors"": ""Lulu Xue"", ""Date accepted"": ""4/22/20"", ""Date submitted "": ""8/7/19"", ""Funder (cleaned)"": ""UPS"", ""Funder (raw)"": ""UPS"", ""Strategy pillar"": ""CM"", ""Work stream "": ""UM"", ""Sub-tag"": ""Transport decarbonization"", ""YEAR Submitted"": 2019, ""YEAR accepted"": 2020, ""WRI lead author - FIRST name"": ""Lulu"", ""WRI lead author - LAST name"": ""Xue"", ""Source URL"": ""https://files.wri.org/d8/s3fs-public/2022-01/action-plans-policy-recommendations-vehicle-grid-integration-china_0.pdf?VersionId=N_9qVIMgzvUb132BB_px9MhP7pikbk12""}"
barriers-to-adopting-electric-buses-executive-summary.pdf,"{""Manuscript Number"": ""WRI-D-18-00122"", ""Article Type"": ""Report"", ""Sub-tag (clean1)"": ""Transport decarbonization"", ""WRI Office affiliation (primary)"": ""WRI Global "", ""Other weblink (not DOI)"": ""https://www.wri.org/research/barriers-adopting-electric-buses"", ""Article Title"": ""Barriers to Adopting Electric Buses Report"", ""All authors"": ""Ryan Sclar; Xiangyi Li; Camron Gorguinpour; Sebastian Castellanos"", ""Date accepted"": ""5/3/19"", ""Date submitted "": ""10/15/18"", ""Funder (cleaned)"": ""German government"", ""Funder (raw)"": ""BMZ"", ""Strategy pillar"": ""CM"", ""Work stream "": ""UM"", ""Sub-tag"": ""Transport decarbonization"", ""YEAR Submitted"": 2018, ""YEAR accepted"": 2019, ""WRI lead author - FIRST name"": ""Ryan"", ""WRI lead author - LAST name"": ""Sclar"", ""Source URL"": ""https://files.wri.org/d8/s3fs-public/barriers-to-adopting-electric-buses-executive-summary.pdf""}"
changing-demand-electric-vehicles-ho-chi-minh-city.pdf,"{""Manuscript Number"": ""WRI-D-22-00003"", ""Article Type"": ""Working Paper"", ""Sub-tag (clean1)"": ""Transport decarbonization"", ""WRI Office affiliation (primary)"": ""WRI Global "", ""DOI (from RDI mastersheet)"": "" https://doi.org/10.46830/wriwp.22.00003"", ""Article Title"": ""Changing the Demand Preference for Electric Vehicles in Ho Chi Minh City: Benefits and Costs from Incentives at Early Stages of Adoption"", ""All authors"": ""Rajat Shrestha; Giuseppe Tesoriere; Vishant Kothari; Hamilton Steimer"", ""Date accepted"": ""11/9/22"", ""Date submitted "": ""1/5/22"", ""Funder (cleaned)"": ""German government"", ""Funder (raw)"": ""BMU/GIZ"", ""Strategy pillar"": ""CM"", ""Work stream "": ""UM"", ""Sub-tag"": ""Transport decarbonization"", ""YEAR Submitted"": 2022, ""YEAR accepted"": 2022, ""WRI lead author - FIRST name"": ""Rajat"", ""WRI lead author - LAST name"": ""Shrestha"", ""Source URL"": ""https://files.wri.org/d8/s3fs-public/2023-02/changing-demand-electric-vehicles-ho-chi-minh-city.pdf?VersionId=2DUl6RwHbULBUNonMN2nyUaVlzsooxzl""}"
costs-emissions-appraisal-tool-transit-buses.pdf,"{""Manuscript Number"": ""WRI-D-18-00001"", ""Article Type"": ""Technical Note"", ""Sub-tag (clean1)"": ""Transport decarbonization"", ""WRI Office affiliation (primary)"": ""WRI Global "", ""Other weblink (not DOI)"": ""https://www.wri.org/research/costs-and-emissions-appraisal-tool-transit-buses"", ""Article Title"": ""Costs and Emissions Appraisal for Transit Buses"", ""All authors"": ""Erin Cooper; Xiangyi Li; Thet Hein Tun"", ""Date accepted"": ""2/6/19"", ""Date submitted "": ""3/29/18"", ""Funder (cleaned)"": ""FedEx"", ""Funder (raw)"": ""FedEx"", ""Strategy pillar"": ""CM"", ""Work stream "": ""UM"", ""Sub-tag"": ""Transport decarbonization"", ""YEAR Submitted"": 2018, ""YEAR accepted"": 2019, ""WRI lead author - FIRST name"": ""Thet"", ""WRI lead author - LAST name"": ""Hein"", ""Source URL"": ""https://files.wri.org/d8/s3fs-public/costs-emissions-appraisal-tool-transit-buses.pdf""}"
dataset-esb-adoption-tech-note-july-2025.pdf,"{""Manuscript Number"": ""WRI-D-21-00134"", ""Article Type"": ""Technical Note"", ""Sub-tag (clean1)"": ""Electric mobility"", ""WRI Office affiliation (primary)"": ""WRI US"", ""DOI (from RDI mastersheet)"": ""https://doi.org/10.46830/writn.21.00134"", ""Article Title"": ""Technical Note: A Dataset of Electric School Bus Adoption in the United States"", ""All authors"": ""Leah Lazer; Lydia Freehafer"", ""Date accepted"": ""1/4/22"", ""Date submitted "": ""9/22/21"", ""Funder (cleaned)"": ""Bezos Earth Fund"", ""Funder (raw)"": ""Bezos Earth Fund"", ""Strategy pillar"": ""CM"", ""Work stream "": ""UM"", ""Sub-tag"": ""ESBI"", ""YEAR Submitted"": 2021, ""YEAR accepted"": 2022, ""WRI lead author - FIRST name"": ""Leah"", ""WRI lead author - LAST name"": ""Lazer"", ""Source URL"": ""https://files.wri.org/d8/s3fs-public/2025-07/dataset-esb-adoption-tech-note-july-2025.pdf?VersionId=s9LFL_tKdyBg6pT.opmRDmaiD9QHByoy""}"
dataset-us-school-bus-depots-technical-note.pdf,"{""Manuscript Number"": ""WRI-D-22-00019"", ""Article Type"": ""Technical Note"", ""Sub-tag (clean1)"": ""Electric mobility"", ""WRI Office affiliation (primary)"": ""WRI US"", ""DOI (from RDI mastersheet)"": ""https://doi.org/10.46830/writn.22.00019"", ""Article Title"": ""Technical Note: Dataset of U.S. School Bus Depots"", ""All authors"": ""Leah Lazer; Naveen Raman"", ""Date accepted"": ""9/20/23"", ""Date submitted "": ""2/1/22"", ""Funder (cleaned)"": ""Bezos Earth Fund"", ""Funder (raw)"": ""Bezos Earth Fund"", ""Strategy pillar"": ""CM"", ""Work stream "": ""UM"", ""Sub-tag"": ""ESBI"", ""YEAR Submitted"": 2022, ""YEAR accepted"": 2023, ""WRI lead author - FIRST name"": ""Leah"", ""WRI lead author - LAST name"": ""Lazer"", ""Source URL"": ""https://files.wri.org/d8/s3fs-public/2024-01/dataset-us-school-bus-depots-technical-note.pdf?VersionId=G.EOXUFPu13c_8_cmW75lLxAuAmU2bIy""}"
decarbonizing-china-road-transport-sector.pdf,"{""Manuscript Number"": ""WRI-D-21-00145"", ""Article Type"": ""Report"", ""Sub-tag (clean1)"": ""Transport decarbonization"", ""WRI Office affiliation (primary)"": ""WRI China"", ""DOI (from RDI mastersheet)"": ""https://doi.org/10.46830/wrirpt.21.00145"", ""Article Title"": ""Decarbonizing China's road transport sector: pathways towards carbon neutrality"", ""All authors"": ""Lulu Xue"", ""Date accepted"": ""3/31/22"", ""Date submitted "": ""10/27/21"", ""Funder (cleaned)"": ""German government"", ""Funder (raw)"": ""BMU-IKI"", ""Strategy pillar"": ""CM"", ""Work stream "": ""UM"", ""Sub-tag"": ""Transport decarbonization"", ""YEAR Submitted"": 2021, ""YEAR accepted"": 2022, ""WRI lead author - FIRST name"": ""Lulu"", ""WRI lead author - LAST name"": ""Xue"", ""Source URL"": ""https://files.wri.org/d8/s3fs-public/2022-05/decarbonizing-china-road-transport-sector.pdf?VersionId=n92NYycEWUXubH7VSYTwpSeiJ2k8D1UB""}"
developing-electric-mobility-roadmap-subnational-case-studies-vietnamese-cities.pdf,"{""Manuscript Number"": ""WRI-D-21-00009"", ""Article Type"": ""Working Paper"", ""Sub-tag (clean1)"": ""Transport decarbonization"", ""WRI Office affiliation (primary)"": ""WRI Global "", ""DOI (from RDI mastersheet)"": ""https://doi.org/10.46830/wriwp.21.00009"", ""Article Title"": ""Developing an electric mobility roadmap: international experiences from subnational case studies for Vietnamese cities"", ""All authors"": ""Kangjie Liu; Stephanie Ly; Eleanor Jackson; Hamilton Steimer; Sarah Cassius; Xiangyi Li; Erika Myers; Lorenzo Hernandez Duarte; Lydia Freehafer"", ""Date accepted"": ""5/25/22"", ""Date submitted "": ""1/22/21"", ""Funder (cleaned)"": ""German government"", ""Funder (raw)"": ""BMU/GIZ"", ""Strategy pillar"": ""CM"", ""Work stream "": ""UM"", ""Sub-tag"": ""Transport decarbonization"", ""YEAR Submitted"": 2021, ""YEAR accepted"": 2022, ""WRI lead author - FIRST name"": ""Kangjie"", ""WRI lead author - LAST name"": ""Liu"", ""Source URL"": ""https://files.wri.org/d8/s3fs-public/2022-08/developing-electric-mobility-roadmap-subnational-case-studies-vietnamese-cities.pdf?VersionId=U2XPE7PXtXLWhOl9d7USTPdv0By.naDW""}"
developing-electric-mobility-roadmap-vietnam.pdf,"{""Manuscript Number"": ""WRI-D-21-00172"", ""Article Type"": ""Working Paper"", ""Sub-tag (clean1)"": ""Transport decarbonization"", ""WRI Office affiliation (primary)"": ""WRI Global "", ""DOI (from RDI mastersheet)"": ""https://doi.org/10.46830/wriwp.21.00172"", ""Article Title"": ""Developing an electric mobility roadmap for Vietnam: global experiences from national case studies"", ""All authors"": ""Kangjie Liu; Stephanie Ly; Hamilton Steimer; Eleanor Jackson; Sarah Cassius; Xiangyi Li"", ""Date accepted"": ""2/16/23"", ""Date submitted "": ""12/30/21"", ""Funder (cleaned)"": ""German government"", ""Funder (raw)"": ""International Climate Initiative (IKI)â€¯ of the Federal Ministry for Economic Affairs and Climate Action of Germany (BMWK)"", ""Strategy pillar"": ""CM"", ""Work stream "": ""UM"", ""Sub-tag"": ""Transport decarbonization"", ""YEAR Submitted"": 2021, ""YEAR accepted"": 2023, ""WRI lead author - FIRST name"": ""Kangjie"", ""WRI lead author - LAST name"": ""Liu"", ""Source URL"": ""https://files.wri.org/d8/s3fs-public/2023-05/developing-electric-mobility-roadmap-vietnam.pdf?VersionId=JRV9mdHmQTdw0qIeux7TJt4JUP5zp1.H""}"
